attempted_at,result,message,fail_count,forced
2026-09-08T18:10:08+00:00,login_rejected,Wrong email/password.,1,0
2026-09-08T18:40:35+00:00,login_rejected,Wrong email/password.,2,0
2026-09-08T20:40:38+00:00,login_rejected,Wrong email/password.,3,0
2026-09-09T03:00:52+00:00,ok,,0,0
2026-09-09T04:00:51+00:00,outlook_rejected,Invalid session.,1,0
2026-09-09T04:40:33+00:00,outlook_rejected,Invalid session.,2,0
2026-09-09T06:40:44+00:00,ok,,0,0
2026-09-09T07:00:53+00:00,ok,,0,0
2026-09-09T08:00:57+00:00,login_rejected,Wrong email/password.,1,0
2026-09-09T08:40:36+00:00,login_rejected,Wrong email/password.,2,0
2026-09-09T11:00:51+00:00,login_rejected,Wrong email/password.,3,0
2026-09-09T17:20:38+00:00,login_rejected,Wrong email/password.,4,0
2026-09-09T23:40:35+00:00,login_rejected,Wrong email/password.,5,0
2026-09-10T06:00:54+00:00,login_rejected,Wrong email/password.,6,0
2026-09-10T12:01:01+00:00,login_rejected,Wrong email/password.,7,0
2026-09-10T18:20:37+00:00,login_rejected,Wrong email/password.,8,0
2026-09-11T00:40:36+00:00,login_rejected,Wrong email/password.,9,0
2026-09-11T06:40:38+00:00,login_rejected,Wrong email/password.,10,0
2026-09-11T13:00:53+00:00,login_rejected,Wrong email/password.,11,0
2026-09-11T19:00:55+00:00,login_rejected,Wrong email/password.,12,0
2026-09-12T01:20:33+00:00,login_rejected,Wrong email/password.,13,0
2026-09-12T07:20:38+00:00,login_rejected,Wrong email/password.,14,0
2026-09-12T13:20:38+00:00,login_rejected,Wrong email/password.,15,0
2026-09-12T19:40:34+00:00,login_rejected,Wrong email/password.,16,0
2026-09-13T02:00:51+00:00,login_rejected,Wrong email/password.,17,0
2026-09-13T08:00:52+00:00,login_rejected,Wrong email/password.,18,0
2026-09-13T14:00:53+00:00,login_rejected,Wrong email/password.,19,0
2026-09-13T20:20:37+00:00,login_rejected,Wrong email/password.,20,0
2026-09-14T02:40:33+00:00,login_rejected,Wrong email/password.,21,0
2026-09-14T08:40:35+00:00,login_rejected,Wrong email/password.,22,0
2026-09-14T14:40:41+00:00,ok,,0,0
2026-09-14T15:01:01+00:00,ok,,0,0
2026-09-14T16:00:54+00:00,ok,,0,0
2026-09-14T17:00:54+00:00,ok,,0,0
2026-09-14T18:00:53+00:00,ok,,0,0
2026-09-14T19:00:55+00:00,ok,,0,0
2026-09-14T20:00:49+00:00,ok,,0,0
2026-09-14T21:00:50+00:00,ok,,0,0
2026-09-14T22:00:55+00:00,ok,,0,0
2026-09-14T23:00:49+00:00,ok,,0,0
2026-09-15T00:00:54+00:00,ok,,0,0
2026-09-15T01:00:46+00:00,ok,,0,0
2026-09-15T02:00:49+00:00,ok,,0,0
2026-09-15T03:00:48+00:00,ok,,0,0
2026-09-15T04:00:47+00:00,ok,,0,0
2026-09-15T05:00:49+00:00,ok,,0,0
2026-09-15T06:00:49+00:00,ok,,0,0
2026-09-15T07:00:57+00:00,ok,,0,0
2026-09-15T08:00:55+00:00,ok,,0,0
2026-09-15T09:00:53+00:00,ok,,0,0
2026-09-15T10:00:50+00:00,ok,,0,0
2026-09-15T11:00:50+00:00,ok,,0,0
2026-09-15T12:00:53+00:00,ok,,0,0
2026-09-15T13:00:54+00:00,ok,,0,0
2026-09-15T14:00:55+00:00,ok,,0,0
2026-09-15T15:00:54+00:00,ok,,0,0
2026-09-15T16:00:52+00:00,ok,,0,0
2026-09-15T17:00:51+00:00,ok,,0,0
2026-09-15T18:00:51+00:00,ok,,0,0
2026-09-15T19:00:51+00:00,ok,,0,0
2026-09-15T20:00:53+00:00,ok,,0,0
2026-09-15T21:00:55+00:00,ok,,0,0
2026-09-15T22:00:54+00:00,ok,,0,0
2026-09-15T23:00:51+00:00,ok,,0,0
2026-09-16T00:00:55+00:00,ok,,0,0
2026-09-16T01:00:50+00:00,ok,,0,0
2026-09-16T02:00:50+00:00,ok,,0,0
2026-09-16T03:00:50+00:00,ok,,0,0
2026-09-16T04:00:53+00:00,ok,,0,0
2026-09-16T05:00:52+00:00,ok,,0,0
2026-09-16T06:01:02+00:00,ok,,0,0
2026-09-16T07:00:52+00:00,ok,,0,0
2026-09-16T08:00:53+00:00,ok,,0,0
2026-09-16T09:00:54+00:00,ok,,0,0
2026-09-16T10:01:00+00:00,ok,,0,0
2026-09-16T11:00:54+00:00,ok,,0,0
2026-09-16T12:00:53+00:00,ok,,0,0
2026-09-16T13:01:05+00:00,ok,,0,0
2026-09-16T14:00:53+00:00,ok,,0,0
2026-09-16T15:00:55+00:00,ok,,0,0
2026-09-16T16:00:52+00:00,ok,,0,0
2026-09-16T17:00:56+00:00,ok,,0,0
2026-09-16T18:00:55+00:00,ok,,0,0
